timestamp,mensaje,ms_desde_inicio,ms_desde_anterior
2025-05-08T07:14:42.271-05:00,Calling service https://api.hubredeban.,0,0
2025-05-08T07:14:42.682-05:00,resposeApi HttpCode 200,411,411
2025-05-08T07:14:43.304-05:00,messageResponse:,1033,622
2025-05-08T07:14:44.533-05:00,INFO Path: /qrec/rbm/customerDirectDebitInitiation method:,2262,1229
2025-05-08T07:14:44.533-05:00,/qrec/rbm/customerDirectDebitInitiation method:,2262,0
2025-05-08T07:14:45.076-05:00,REPORT RequestId: 82f08634-90c4-4bec-9ef5-7a0f85bca281 Duration:,2805,543
2025-05-08T07:14:45.356-05:00,Start customerDirectDebitInitiation PAIN008,3085,280
2025-05-08T07:14:45.424-05:00,Start method validateRequestDebitFields,3153,68
2025-05-08T07:14:45.424-05:00,Ends building Debit transaction object,3153,0
2025-05-08T07:14:45.434-05:00,Start saving Person Transaction with keys:,3163,10
2025-05-08T07:14:45.945-05:00,Ends saving Person Transaction,3674,511
2025-05-08T07:14:45.947-05:00,Sending message to Broker,3676,2
2025-05-08T07:14:46.015-05:00,Message sent to Broker:,3744,68
2025-05-08T07:14:51.191-05:00,Start api TransactionReport,8920,5176
2025-05-08T07:14:48.048-05:00,Calculating parameter for key,5777,-3143
2025-05-08T07:14:48.700-05:00,Start to build the NSBT params,6429,652
2025-05-08T07:14:48.700-05:00,Start to build the NSBT Evalls params,6429,0
2025-05-08T07:14:48.823-05:00,Executing the NSBT request,6552,123
2025-05-08T07:14:48.886-05:00,Calling service https://BANTOTALTRX:12000,6615,63
2025-05-08T07:14:50.141-05:00,The runtime of the NSBT service is as follows 1317,7870,1255
2025-05-08T07:14:50.467-05:00,Calling service https://api.hubredeban.,8196,326
2025-05-08T07:14:50.727-05:00,Error message Not Acceptable,8456,260
2025-05-08T07:14:50.727-05:00,Sending message:,8456,0
2025-05-08T07:14:50.787-05:00,Message sent to broker,8516,60
2025-05-08T07:15:18.165-05:00,Calling service https://api.hubredeban.,35894,27378
2025-05-08T07:15:29.166-05:00,Failed to connect to remote,46895,11001
